,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm,subdir,subdir_idx
522,so fine (feat. zefanio & latifah),DJ DYLVN,1-dBCOhenYg,DJ DYLVN - SO FINE (feat. Zefanio & Latifah) [Official Video],1 month ago,37423.0,2:28,148.0,DJ DYLVN,29,,100.0,additional_lisboa,34
523,xigubu,Dj Ganyani,npWF7kvyWc4,DJ Ganyani ft FB - Xigubu (Official Music Video),8 years ago,9486793.0,4:09,249.0,Ganyani Entertainment,1743,,126.0,additional_lisboa,35
524,siyagroova,DJ LAG,bEU555XFFM0,DJ Lag & DJ Tira - Siyagroova (Official Music Video),1 year ago,122100.0,4:01,241.0,DJ LAG,77,,124.0,additional_lisboa,36
525,vay,Dj Leska,Oq1n8fUxQZc,Dj LESKA - VEGEDREAM - KGS / Vay (Clip Officiel),4 years ago,48999922.0,3:47,227.0,Dj Leska Officiel,1804,,98.0,additional_lisboa,38
527,peru,Fireboy Dml,pekzpzNCNDQ,Fireboy DML & Ed Sheeran - Peru (Official Video),2 months ago,44194928.0,3:10,190.0,Fireboy DML,964,,108.0,additional_lisboa,41
530,team onbeskop,Getamilli,glLRZ40HO2c,"Getamilli feat. Adje, Chaika, Ori, Nok Blok – Team Onbeskop",2 years ago,99338.0,3:30,210.0,EnBloc Music,17,,98.0,additional_lisboa,46
533,kitten heel,Isabella LoveStory,LVEfBIUda_I,Isabella Lovestory - Kitten Heel (Letra),1 year ago,51687.0,2:32,152.0,Música para P U T E A R,33,,98.0,additional_lisboa,51
535,moody!,Jean Deaux,FVJBvBmm0YM,Jean Deaux - Moody! ft. Saba (Official Lyric Video),1 year ago,191238.0,1:46,106.0,Jean Deaux,52,,84.5,additional_lisboa,53
536,wicked,Juls,rqMgWiHgdC4,"JULS - WICKED (FEATURING SAM WISE, KADIATA AND KNUCKS) OFFICIAL VIDEO",7 months ago,526044.0,3:10,190.0,Juls baby,182,,127.0,additional_lisboa,54
537,koko,Karen Nyame KG,KuFt7gyiRxE,Karen Nyame KG - Koko feat. Mista Silva,10 months ago,12105.0,2:53,173.0,Black Acre,13,,115.0,additional_lisboa,55
538,sweet,Kwaku DMC,qQNSG_wEumk,Kwaku DMC - SWEET (Official Video),1 month ago,88766.0,2:09,129.0,Kwaku DMC,261,,140.0,additional_lisboa,58
540,"cayo la noche (feat. cruz cafune, abhir hathi, bejo, el ima) [remix]",La Pantera,iyjMwZQTN-o,"Cayó La Noche Remix - La Pantera, Quevedo, Juseph ft. Bejo, Abhir Hathi, Cruz Cafuné, El Ima",1 month ago,19849462.0,7:00,420.0,LaPanteraBby,3084,,173.89,additional_lisboa,60
