Name	Artist	Genre	AverageBpm	Comments
Vroom VIP (Hoodcore x Sango DJ Tool)	Falcons	└A	85.00	11B
Brrrrrr (What Happened?) 	Falcons	└A	90.00	10A
MyPu**y (lol)	Falcons	└A	138.00	10A
Gossip Riddim	Falcons	└A	120.00	11B
Gyal Dem Move	Falcons & Juelz		130.00	2A
Codeine Cups (prod. petey)	FAM		75.40	3A
So Good	Farhot 		82.02	6A
What's Luv - ZIGGY & Praia Del Sol 2018 Remix	Fat Joe ft. Ashanti		102.00	5A
Toca	Fearz	Electro	130.00	9A
Tundra	Fearz	Electro	130.00	7A
Nothing Lasts Forever [Mastered]	FEKI		140.00	12B
SUMMER BEAT	Felix		118.00	4A
Go Back Home	FKJ	Electronic	96.00	2A
Clarity	Flava D		131.00	3A
The GTW & Bengfang - Cravings	Flight Facilities		133.00	11A
Killer Kowalski 	FLOCKA		114.00	
Paper Thin	Flume		95.00	6B
Smoke & Retribution (Original Mix)	Flume, Vince Staples, Kucka	Electronica	121.00	5A
Pumped Up Kicks (Gigamesh Remix)	Foster The People	Waves ≠ Raves vol. 10	128.00	
Big Man Ting	Fox	Garage	127.00	4A
Your Love (Stanton Warriors Tribute Mix)	Frankie Knuckles		128.00	9A
Akom (DJ Satelite Remix)	Freak De L Afrique :: Instagram: @Waploaded	Waploaded	124.00	9A
Getiton+AndIsay thugedit	Frogs In Socks vs Nicolas Jaar		120.68	9A
Swarm	Funkystepz	Funky	128.00	1A
Lookin Exotic	Future	Hip-Hop/Rap	152.00	9A
Patek Water (feat. Offset)	Future & Young Thug	Hip-Hop/Rap	76.50	11A
Sunshine (Wookie Main Mix)	Gabrielle		137.14	6A
We On	Gavlyn & DJ Hoppa	Hip-Hop/Rap	90.00	4A
J Dilla - Think Twice // GDNA (RE)Vision	GDNA		126.00	10A
Talk Talk (Ta-ku Remix)	George Maple	Electronica	132.00	6B
You	Gidge		110.00	8A
yung summer	gillepsy	Sex	139.99	10A
Choreograph	Gilligan Moss	Dance	112.00	2A
Llama	Girl Ultra	Alternative;Latin Music	75.00	
Hola	Girl Ultra	Alternative;Latin Music	106.77	
Duele	Girl Ultra	Alternative;Latin Music	90.00	
Abril	Girl Ultra	Alternative;Latin Music	120.00	
Buenas Noches (Interlude)	Girl Ultra	Alternative;Latin Music	130.59	
Adiós	Girl Ultra	Alternative;Latin Music	130.00	
Lejos	Girl Ultra;Coco Santos	Alternative;Latin Music	98.00	
Bye Bye	Girl Ultra;FNTXY	Alternative;Latin Music	96.00	
Double Take Part II	Girl Unit	Club	135.00	7A - Energy 7
5th Ave	Gold Panda		87.97	8A
Crew (feat. Brent Faiyaz & Shy Glizzy)	GoldLink	Hip-Hop/Rap	130.00	12A
Crew ft. Brent Faiyaz, Shy Glizzy	GoldLink 		130.00	12A
PRESSURE	Goon des Garcons	Rap/Hip Hop	136.00	9A
Crocodile Tears	GRADES		126.00	2B
SoloCup_JonBlaze	grimelabinc		121.69	
Cash Train (feat. Not3s & Blade Brown)	GRM Daily;Not3s;BLADE BROWN	Rap/Hip Hop	98.00	7A
Little Bit of This (feat. Vince Staples) (Original Mix)	GTA, Vince Staples	Hip-Hop	118.00	11A
Gutta & Kaotik-Dive In #TLSCWTS	Gutta Beatz		136.00	8B
Gutta & Kaotik-Dive In #TLSCWTS	Gutta Beatz		136.00	Made with ACID Pro 7.0
Focus - Lemi Vice & Action Jackson Remix	H.E.R.		130.00	11A
Florida (ft. El Mayam, Yei B, 4AM)	Halfmann		100.10	
Florida	Halfmann;El Mayam;Yei B	Electro;Soul & Funk	100.00	7A
No Limit	Hannah V;Shystie;Pepper Rose	Pop;R&B	105.00	
Capoira 	Hard House Banton	Funky	126.00	2A
El General  	Hard House Banton	Funky	126.00	10A
Cmon (Dirty)	Hardy Caprio & Tion Wayne		106.00	11A
Something About You	Hayden James	Electronic	115.00	6A
Never Goin' Broke (Feat. Iamsu!, P-Lo, Kool John, Jay Ant	HBK Gang 		98.00	10A
Ukiyo	Hermitude		180.00	5A
Bugatti Friendz	Hi Tom		139.00	8B
Addio Mare (feat. Astroboi)	Highkili;Astroboi	Reggaeton	96.00	5A
Aberto	Hiram		114.00	
We Do it 	Hnqo 		118.00	11B
So Pretty	Hoodcelebrityy;Kash Doll	Reggae	92.00	
Lambada	Hr. Troels;Manos	Dance;Pop	126.00	
Cashmere	Hucci	Presex	119.97	6B
Very First Breath (feat. Irfane)	Hudson Mohawke		140.00	3A
Passports (feat. Remy Banks)	Hudson Mohawke	Warp, Master, Publishing, Vocal Male	132.00	7A
Foxy Boxing	Hudson Mohawke	LuckyMe, Master, Instrumental	142.97	5A
Thunder Bay	Hudson Mohawke	Warp, One-stop, Instrumental, Vocal FX	135.98	5A
Nomatter+thatthing	Huxley		124.15	3A
Maniac	Hyper Crush		128.00	10B
Shade (Dirty)	IAMDDB		122.00	
G.A.F	IAMDDB	Rap/Hip Hop;R&B	135.00	
Temptation	Iamnobodi	SOULECTION	120.00	7B
Something New (feat. Sage the Gemini & Ymtk)	Iamsu!	Hip-Hop/Rap	97.00	12A
Hipster Girls	Iamsu!	Hip-Hop/Rap	129.00	
Bellion	Ill Blu	Funky	128.00	11A
Tuesday (Blackbird Blackbird Remix)	ILOVEMAKONNEN Feat. Drake	Club	143.98	
Hunnids	Innanet James	Rap/Hip Hop	76.00	2A
Morado	J Balvin	Rap/Hip Hop;Latin Music	97.00	7A
Did You See - Conducta Remix (Dirty)	J Hus		125.01	10A - Energy 6
Cucumber	J Hus	Rap/Hip Hop	103.00	10A
Good Time - Satoru Club Edit (Dirty)	J Hus ft. Burna Boy		110.00	10A - Energy 5
Lean & Bop - Rude Kid Remix	J Hus ft. DoccyDocs		128.00	1A
Play Play	J Hus;Burna Boy	Rap/Hip Hop	90.00	8A
Big Conspiracy	J Hus;iceè tgm	Rap/Hip Hop	93.00	7A
Repeat	J Hus;Koffee	Rap/Hip Hop	92.00	11B
She's All I Need 	J-Louis	SOULECTION	130.50	5A
Videolympics	Jacob 2-2		136.00	8A
No Excuse	Jacques Greene	Presex/aftersex	127.00	2A
Afterglow (Original Mix)	Jacques Greene	Electronica / Downtempo	137.99	1A
You Can't Deny	Jacques Greene	Electrónica	125.99	10B
Wasteman	Jada Kingdom;Stalk Ashley	Reggae	90.00	10A
Clarks Pon Foot	Jahvillani	Reggae;Dancehall/Ragga	95.00	2A
Clarks Pon Foot	Jahvillani	Reggae;Dancehall/Ragga	95.00	2A
Track 14	Jai Paul		89.94	11B
Track 16	Jai Paul		89.99	2B
Track 12	Jai Paul		86.00	3A
Girl	Jamie xx	Electrónica	101.64	
Gosh	Jamie xx	Electrónica	139.45	
Hold Tight	Jamie xx	Electrónica	125.50	
I Know There's Gonna Be (Good Times) [feat. Young Thug & Popcaan]	Jamie xx	Electrónica	179.00	10A
Just Saying	Jamie xx	Electrónica	126.77	
Obvs	Jamie xx	Electrónica	152.00	
SeeSaw (feat. Romy)	Jamie xx	Electrónica	125.00	
Sleep Sound	Jamie xx	Electrónica	118.20	
Stranger In a Room (feat. Oliver Sim)	Jamie xx	Electrónica	129.81	
The Rest Is Noise	Jamie xx	Electrónica	125.00	
I Know There's Gonna Be (Good Times) [feat. Young Thug & Popcaan]	Jamie xx	Electronic	89.50	10A
